influencer_id,name,category,gender,follower_count,platform
INF001,Brijesh Vasa,Beauty,Male,46441,Instagram
INF002,Vanya Padmanabhan,Parenting,Non-Binary,153047,Twitter
INF003,Odika Ganguly,Parenting,Non-Binary,263240,Instagram
INF004,Widisha Shankar,Lifestyle,Non-Binary,122227,Twitter
INF005,Mahika Khatri,Wellness,Female,225192,Instagram
INF006,Aarini Devi,Parenting,Non-Binary,380766,Instagram
INF007,Madhavi Sodhi,Parenting,Non-Binary,101944,Twitter
INF008,Kiaan Dugar,Fitness,Male,218053,YouTube
INF009,Frederick Warrior,Fitness,Male,45624,Instagram
INF010,Logan Garg,Fitness,Male,135953,Twitter
INF011,Meera Seshadri,Beauty,Female,391135,Instagram
INF012,Ishanvi Bandi,Wellness,Female,203520,YouTube
INF013,Abeer Kumer,Lifestyle,Male,221369,Twitter
INF014,Finn Bali,Beauty,Male,281357,Twitter
INF015,Max Randhawa,Lifestyle,Male,122825,YouTube
INF016,Triya Som,Beauty,Non-Binary,355805,Twitter
INF017,Yoshita Sidhu,Lifestyle,Female,168018,YouTube
INF018,Dominic Munshi,Fitness,Male,214299,Twitter
INF019,Isha Boase,Fitness,Female,40820,YouTube
INF020,Vinaya Bahri,Wellness,Female,91022,YouTube
INF021,Ishani Dugal,Parenting,Non-Binary,436559,Twitter
INF022,Lavanya Tara,Parenting,Female,82421,Instagram
INF023,Zayan Kamdar,Fitness,Male,81710,YouTube
INF024,Kashvi Buch,Parenting,Female,392401,Instagram
INF025,Prisha Sem,Lifestyle,Female,221954,Instagram
INF026,Udant Vala,Beauty,Male,122398,Twitter
INF027,Teerth Kulkarni,Parenting,Male,284514,Instagram
INF028,Tara Ahluwalia,Wellness,Female,302590,Twitter
INF029,Vyanjana Sarraf,Parenting,Female,345055,Twitter
INF030,Pratyush Khanna,Parenting,Male,132740,YouTube
INF031,Vihaan Das,Beauty,Male,331475,Twitter
INF032,Dev Bhagat,Beauty,Male,90962,YouTube
INF033,Ranbir De,Beauty,Male,270974,YouTube
INF034,Ishani Ghose,Fitness,Non-Binary,441234,YouTube
INF035,Sai Bobal,Wellness,Male,320770,YouTube
INF036,Nachiket Sodhi,Beauty,Male,450424,Instagram
INF037,Yagnesh Contractor,Beauty,Male,122459,Instagram
INF038,Anay Mannan,Lifestyle,Male,383348,Instagram
INF039,Madhavi Varkey,Lifestyle,Female,310652,Twitter
INF040,Harini Goel,Beauty,Female,273470,YouTube
INF041,Vasana Khalsa,Lifestyle,Non-Binary,379161,Twitter
INF042,Amrita Jhaveri,Beauty,Non-Binary,178186,Twitter
INF043,Vanya Dugar,Fitness,Non-Binary,296755,Instagram
INF044,Aarna Wable,Lifestyle,Female,405034,Twitter
INF045,Lila Parmar,Lifestyle,Female,43690,Instagram
INF046,Yoshita Sankar,Fitness,Female,294667,Twitter
INF047,Chaitaly Khalsa,Lifestyle,Non-Binary,127271,Twitter
INF048,Varsha Amble,Parenting,Female,479524,Instagram
INF049,Ojas Verma,Beauty,Male,296185,Twitter
INF050,Balhaar Dave,Lifestyle,Male,5570,Instagram
